Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series
7356,aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,1500,375,사하라,Medium rug,Gray,Gray,For sale,No,3x2 ,garden,outdoors,None
7327,apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,NFS,1200,Crafting,Medium rug,Red,Red,Not for sale,Yes,3x3 ,fancy,child's room,fruits
12214,Bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,NFS,6000,너굴 마일 교환,Medium rug,None,None,Not for sale,No,3x3,expensive,None,None
11104,black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,1500,375,사하라,Medium rug,Black,Gray,For sale,No,3x3 ,living room,None,None
7382,black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,1500,375,사하라,Medium rug,Black,Black,For sale,No,3x2 ,outdoors,None,None
7594,black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,1000,250,사하라,Small rug,Black,Orange,For sale,No,2x1 ,kitchen,None,None
8467,blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,2000,500,사하라,Large rug,Blue,Green,For sale,No,4x3 ,living room,expensive,None
11102,blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,1500,375,사하라,Medium rug,Blue,Blue,For sale,No,3x3 ,living room,None,None
7467,blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,2000,500,사하라,Large rug,Blue,Blue,For sale,No,4x3 ,fancy,child's room,None
9316,blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,2000,500,사하라,Large rug,Blue,Black,For sale,No,5x5 ,living room,None,None
8394,blue kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS02.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x1 ,kitchen,None,None
9546,blue medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM02.png,1500,375,사하라,Medium rug,Blue,Blue,For sale,No,3x3 ,living room,child's room,None
9310,blue message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS01.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x1 ,child's room,None,None
8035,blue Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL01.png,2000,500,사하라,Large rug,Blue,Beige,For sale,No,5x5 ,expensive,living room,None
9564,blue shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL02.png,2000,500,사하라,Large rug,Blue,Blue,For sale,No,5x5 ,living room,None,None
9549,blue small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS02.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x2 ,living room,child's room,None
7533,blue stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL02.png,2000,500,사하라,Large rug,Blue,White,For sale,No,4x3 ,fancy,child's room,None
7404,blue vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM01.png,1500,375,사하라,Medium rug,Blue,Colorful,For sale,No,3x2 ,garden,None,None
7458,blue wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL02.png,2000,500,사하라,Large rug,Blue,Light blue,For sale,No,4x3 ,living room,child's room,None
