Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Door Deco,Catalog
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,63000,15750,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,Air Conditioning,No,For sale
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_1_0.png,Gray,NA,NA,NA,No,No,No,NA,63000,15750,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,Air Conditioning,No,For sale
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,63000,15750,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,Air Conditioning,No,For sale
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,63000,15750,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,Air Conditioning,No,For sale
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,63000,15750,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,Air Conditioning,No,For sale
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_5_0.png,Brown,NA,NA,NA,No,No,No,NA,63000,15750,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,Air Conditioning,No,For sale
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,16000,4000,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Home Appliances,No,For sale
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,16000,4000,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Home Appliances,No,For sale
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,16000,4000,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Home Appliances,No,For sale
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_0.png,Signature,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
